,spotify_song_id,weeks_on_chart,artists,name,peak_position
210,0jHmv4gWVTPK6fwbm7881f,20,Daddy Yankee,Con Calma,45
211,0jOfl1nZf6sVBTG08Q4brn,7,Migos,Call Casting,29
212,0jPLBur1qXRfj3pbuJSX03,1,Young Thug,Killed Before,156
213,0jdny0dhgjUwoIp5GkqEaA,35,Kesha,Praying,17
214,0jqBo5RYn008f4ZY8kPewW,3,Logic,Indica Badu,20
215,0jqLv5PuEUA0GthFjdtlS1,1,Meek Mill,Oodles O' Noodles Babies,152
216,0jx8zY5JQsS4YEQcfkoc5C,3,Chance the Rapper,Angels ,155
217,0k664IuFwVP557Gnx7RhIl,10,Lizzo,Juice,71
218,0k7Qyc2J6cUryNNhf0pPEL,1,Lil Skies,Ok 4 Now,197
219,0kCBorRrKZkSztd9m0QI3r,13,Young Thug,Chanel (Go Get It) [feat. Gunna & Lil Baby],50
220,0knX1FaKl445Hej9Tjj07N,1,Future,Fresh Air,151
221,0lG7iyNSstVOLV6faMIHdD,1,Anderson .Paak,6 Summers,182
222,0lYBSQXN6rCTvUZvg9S0lU,22,DJ Snake,Let Me Love You,12
223,0lc70Jh2s1iOMuv9XIEhFy,1,Eminem,Castle,139
224,0lizgQ7Qw35od7CYaoMBZb,11,Ariana Grande,Santa Tell Me,15
225,0lnIJmgcUpEpe4AZACjayW,2,Beyoncé,Sorry,117
226,0lsRatBUs9HNIZAmoGABzk,6,SHAED,Trampoline,95
227,0mOp9tWdCRHfYwwVaO8ezw,1,Gunna,Derek Fisher ,185
228,0mhsw7HRwRwF79ES5ucP9Y,1,21 Savage,Thug Life,97
229,0mjAU3yKR1QnXnHtjGJqTM,6,OneRepublic,Rescue Me,66
230,0mt02gJ425Xjm7c3jYkOBn,3,"Lana Del Rey, The Weeknd, The Weeknd",Lust For Life ,52
231,0n22yqkitWec0PV6tibWEO,1,Famous Dex,Nervous ,119
232,0nWMTq3fBceV1uZlhFn6of,1,Future,Oxy ,107
233,0nYvjcSlCgjcwogQAwIwNp,1,Luke Combs,Lovin' On You,175
234,0nhVrTiCGiGRCoZOJiWzm1,3,"Migos, Migos, Marshmello, Migos, Marshmello",Danger ,153
235,0oPdaY4dXtc3ZsaG17V972,10,José Feliciano,Feliz Navidad,42
236,0oiCeOPwm4zhwfyIpAE37y,1,John Mayer,Love on the Weekend,129
237,0oiKDZUxZn9i4jCCDmbTM2,6,Julia Michaels,Uh Huh,115
238,0p0jvYdazuWBMC8QacxpUH,1,Gunna,World Is Yours (Lil Baby & Gunna),113
239,0p0ljM6RxgpGt7wthGqBZa,1,Cash Cash,Finest Hour ,192
240,0p3tGNjc5enjSCnH1GljiH,1,Trippie Redd,Me Likey,186
241,0pAT3JUEjIiqUkwxE0vbBQ,2,Bing Crosby,The Little Drummer Boy,155
242,0pJPdSVti6cTM1Q6xYGmcf,1,Calvin Harris,Faking It,90
243,0pSBuHjILhNEo55xK1zrRt,40,"Ayo, Teo",Rolex,37
244,0pqnGHJpmpxLKifKRmU6WP,108,Imagine Dragons,Believer,11
245,0prNGof3XqfTvNDxHonvdK,17,Alessia Cara,Scars To Your Beautiful,33
246,0pxNyJJiL2zZZ5GgJ4JhsQ,1,Beyoncé,6 Inch,175
247,0q5DrtpnnGpOvBy5nnPMbe,11,A Boogie Wit da Hoodie,Timeless (DJ SPINKING),125
248,0q75NwOoFiARAVp4EXU4Bs,58,SZA,Love Galore ,24
249,0qc4QlcCxVTGyShurEv1UU,1,Sam Feldt,Post Malone ,116
250,0qp8MuZNKelOGTK2HPlXBA,1,A$AP Rocky,Kids Turned Out Fine,152
251,0qtK3XwbuG153dmwB8iepL,1,"Tyler, The Creator",Glitter,148
252,0qvzXomUDJVaUboy2wMfiS,10,Niall Horan,This Town,112
