,spotify_song_id,weeks_on_chart,artists,name,peak_position
160,0wEC0GNF74lAqrEFZJMl1m,1,"Tyler, The Creator",Puppet,88
161,0wH7iJqYQnmUU09YGcQPHo,1,Halsey,Not Afraid Anymore,77
162,0wXuerDYiBnERgIpbb3JBR,41,Childish Gambino,Redbone,12
163,0wbnC9AUenxp613TYaJsGK,15,Migos,Narcos,36
164,0wfbD5rAksdXUzRvMfM3x5,2,The Chainsmokers,The One,78
165,0xl1w2q4VLojeXp4JfazPL,3,Drake,Sacrifices,36
166,0y1QJc3SJVPKJ1OvFmFqe6,8,Kaleo,Way Down We Go,54
167,0y9uTzK9cNKSAEHnpeRG8C,1,Kendrick Lamar,Duckworth.,63
168,0yhxBvedRdGxsPZHJNI4VA,1,Kanye West,I Thought About Killing You,28
169,0ywzvARVqoxQOJpaswRe9E,1,"Zedd, Katy Perry",365,86
170,0zqy3ss4CwD6u4QPksS0nI,3,Drake,8 Out Of 10,21
171,104buTcnP2AsxqB7U1FIZ4,19,Linkin Park,Heavy,45
172,10GJQkjRJcZhGTLagFOC62,16,Hailee Steinfeld,Most Girls,58
173,10Igtw8bSDyyFs7KIsKngZ,20,Lil Dicky,Freaky Friday,8
174,10M2Ex445zw585Ducldzkw,28,Brett Young,In Case You Didn't Know,19
175,116H0KvKr2Zl4RPuVBruDO,27,Bad Bunny,MIA,5
176,11EDhDAVDtGPoSar6ootYA,1,Halsey,Strangers,100
177,11L064movtyopGdLiX4sVg,2,Drake,Peak,38
178,12GEpg2XOPyqk03JZEZnJs,29,"Kygo, Selena Gomez",It Ain't Me,10
179,13ZyrkCDmRz5xY3seuAWYk,4,Juice WRLD,Hear Me Calling,38
180,13e6f8t7RKXuxZ0JdaaJRG,2,Drake,Jorja Interlude,49
181,14PlDNjNh3pXyHXzkhX8n5,8,"6ix9ine, Fetty Wap, A Boogie Wit da Hoodie",KEKE,43
182,14SaZBTjxlorHJQxXh01Hu,17,"Summer Walker, Drake",Girls Need Love,37
183,14kYOiFVPb7E7NfFbqhdln,1,Ariana Grande,Goodnight N Go,87
184,152lZdxL1OR0ZMW6KquMif,43,Khalid,Location,16
185,156LzfvMNKuXuiot4uzhGD,5,Metro Boomin,No Complaints,71
186,15EPc80XuFrb2LmOzGjuRg,21,GoldLink,Crew,45
187,15vzANxN8G9wWfwAJLLMCg,20,The Chainsmokers,Paris,6
188,16QN8cBubEq706vNtPpOME,13,Kelly Clarkson,Love So Soft,47
189,16QjPRt5HYK0dnLGmGRCvf,1,Lil Baby,Deep End,97
190,16dXg2YuFOxwDC3cTf5jde,1,Kodak Black,Conscience,93
191,172e82oK9vGoBPvc6SqMm5,1,Lady Gaga,Is That Alright?,63
192,17DjWsC0G9YQtAiepG3c5v,1,Gucci Mane,Stunting Ain't Nuthin,95
193,17Yq72h0p15OhCbZ5lJ5gd,2,Cardi B,Bickenhead,43
194,18PergoIrGmRyeYxnaXJN2,4,BLACKPINK,Kill This Love,41
195,19Fcrc0nJiwMKom00gS9SW,6,Nicki Minaj,Good Form,60
196,19P6cJstaoQJHtHW3HOGcg,1,"Tim McGraw, Faith Hill",The Rest Of Our Life,98
197,19kUPdKTp85q9RZNwaXM15,17,Kane Brown,Good As You,36
198,19yTqpHTUrw7mOcRDvXYzn,4,Chris Lane,For Her,92
199,1AGPmw3QJBNfOK6XioDhZp,1,Future,Never Stop,65
200,1AH60dMaEfNjzDoUIFwIQi,1,A Boogie Wit da Hoodie,Beast Mode,86
201,1AT4xjNarTswd0UZ5FlmKF,2,J. Cole,Motiv8,15
202,1B4gJRq61xTs6r1O0Uq2iY,1,TakeOff,Casper,99
203,1B6TmCvKjC4dopBohVW51x,13,Jacquees,B.E.D.,69
204,1B87ZDrD3Pno9hS4stamWO,3,Future,Comin Out Strong,48
205,1Bqxj0aH5KewYHKUg1IdrF,3,G,Some Kind Of Drug,97
206,1BuZAIO8WZpavWVbbq3Lci,17,"Rae Sremmurd, Juicy J",Powerglide,28
207,1D2L6MefbXon28PzIk9I3r,3,Post Malone,92 Explorer,40
208,1DUSuNhF8P5vUGNPpQiZa5,3,Khalid,My Bad,55
209,1Dk3CfJEtqvj7Xg2AWwfEn,1,Lil Wayne,Took His Time,65
210,1E1uGhNdBe6Dddbgs2KqtZ,4,twenty one pilots,Jumpsuit,50
211,1E6DEDWDKHoOW0fcFuDghV,1,"Khalid, SAFE",Don't Pretend,84
212,1EaKU4dMbesXXd3BrLCtYG,11,Kendrick Lamar,Element.,16
213,1Eck97uRMlprKOOJN9oO1E,5,G,Good Life,59
214,1Eks3grEvathx0HC7GQABd,21,Daddy Yankee,Dura,43
215,1Faq8G2y56A8fRv7HsLq25,6,NAV,Wanted You,64
216,1G4cdOtF36ZCs6i2dZoC87,21,Mitchell Tenpenny,Drunk Me,39
217,1GOuHB20lqVyxv3GdxovPY,1,Meek Mill,Issues,77
218,1GtVGc1UYin3zpMUdNSSpM,1,Logic,Midnight,74
219,1GwMQaZz6Au3QLDbjbMdme,2,Taylor Swift,Call It What You Want,27
220,1HNywa8Bk0TmzRwQrzhtPo,1,John Mayer,I Guess I Just Feel Like,94
221,1HOUzEsetdIPSpAgRPhZQt,3,Trey Songz,Nobody Else But You,92
222,1HXy5I3HTWq8OvxCn0z7G7,27,Kane Brown,Heaven,15
223,1Hd2XLitkt1PYCWSbfF5qV,5,DJ Khaled,Wish Wish,19
224,1I3ZAmPmbFV78oNKnibOiW,2,Future,Jumpin On A Jet,57
225,1IO13V09b01gLSbmZJZ9dM,10,Brad Paisley,Today,67
226,1KSqYYJFyfTecXFk9M0prc,20,Wisin,Escapate Conmigo,63
227,1KVczjazCcCCgM3gXXUl47,6,"benny blanco, Juice WRLD",Roses,85
228,1KWLyoPChJrBQFscO8NW8D,9,6ix9ine,STOOPID,25
229,1KZ0Xo6Mmeprp1Sw5xCHYz,1,Rick Ross,Trap Trap Trap,97
230,1KhljCoJ2TgDEldnnfTHHc,20,Chris Brown,Party,40
231,1Knctxx9vGZxpZfF66BIEa,2,Juice WRLD,Legends,65
232,1L3NV7VrCiuE8C5QlhdeQL,6,Justin Timberlake,Filthy,9
233,1LIqNVhaIgxXUt2eVoIQJ3,1,Maluma,HP,96
234,1LZNdHSaGjV2S9q8BrZwnh,3,Granger Smith,If The Boot Fits,80
235,1MJErNPIQUoEMu4YUUmecm,2,Lil Uzi Vert,Neon Guts,79
236,1MksGqIztTT6M9R1ErKVs8,3,Big Sean,No Favors,22
237,1P17dC1amhFzptugyAO7Il,19,Taylor Swift,Look What You Made Me Do,1
238,1PSBzsahR2AKwLJgx8ehBj,16,"Machine Gun Kelly, Camila Cabello",Bad Things,4
239,1Pj5oOFzLYELyyeh1IYRK0,6,FLETCHER,Undrunk,61
240,1QiwdLAzAnzmiwvoGMXM7b,1,Meek Mill,Heavy Heart,99
241,1R6VwZ8TuHRzxZUxe88n4I,2,2 Chainz,Rule The World,94
242,1RMsPiK9MRXHAavNDMkrzm,1,Lil Wayne,Demon,81
243,1RagpNpkD3KcjXMLGMe99V,1,Wiz Khalifa,Fr Fr,73
244,1RouRzlg8OKFeqc6LvdxmB,20,Maluma,Felices Los 4,48
