artists_ids,artists_names,made_charts,track_album_name,track_album_release_date,track_art_url,track_id,track_name,track_preview_url,num_faces
"['7urq0VfqxEYEEiZUkebXT4', '0tCtGc5vt29zFZp6KXzN50']","['112', 'Beanie Sigel']",0.0,R&B Hits,2005-10-04,https://i.scdn.co/image/ab67616d0000b2737ecfb05160a4e09bb3194137,06EmqZJolHpHSwNKLHVmqB,Dance With Me (feat. Beanie Sigel) - Remix,https://p.scdn.co/mp3-preview/0f9a6af80e4dcf51296e17e08b0321f691b1d358?cid=7f921ccd390e4fd7ba204c6bf3254ebb,
"['5XenQ7XfcvQdfIbpLEFaKQ', '3tlXnStJ1fFhdScmQeLpuG', '1DvtabXAjfrMihPP6JQdHs']","['GoldLink', 'Brent Faiyaz', 'Shy Glizzy']",1.0,At What Cost,2017-03-24,https://i.scdn.co/image/ab67616d0000b2737bcd3cd54e8399ae38cc6e64,15EPc80XuFrb2LmOzGjuRg,Crew (feat. Brent Faiyaz & Shy Glizzy),https://p.scdn.co/mp3-preview/d0dde15184d6cd06e09b3a50b033093ce5b2c5b1?cid=7f921ccd390e4fd7ba204c6bf3254ebb,
['5me0Irg2ANcsgc93uaYrpb'],['The Notorious B.I.G.'],0.0,Life After Death (2014 Remastered Edition),1997-03-04,https://i.scdn.co/image/ab67616d0000b273fde79b88e2a659c394c5ae30,612lE4c57zWDOqeWca1Pmf,Miss U - 2014 Remaster,https://p.scdn.co/mp3-preview/036604ee7fad1486a048d042a5e3af9cae4d5290?cid=7f921ccd390e4fd7ba204c6bf3254ebb,
['7bXgB6jMjp9ATFy66eO08Z'],['Chris Brown'],0.0,F.A.M.E. (Expanded Edition),2011-03-22,https://i.scdn.co/image/ab67616d0000b2730a1d20ec09cab4bb17a36aab,2QtxlzvSBONjs1bDC34ixs,Yeah 3x,https://p.scdn.co/mp3-preview/df4ae44fca0574d86b590636f59674cc5b1487c7?cid=7f921ccd390e4fd7ba204c6bf3254ebb,
['21J3YJTyq1biE3SvSNjzuf'],['Capleton'],0.0,Prophecy,1995-01-01,https://i.scdn.co/image/ab67616d0000b273671b8f21af367507b8b701d1,6YCkARFQggwUEmqTUyfIgx,Tour,,
['6UuT0BJZ9vF8Y1sxXnJl2s'],['Bounty Killer'],0.0,Greensleeves Offical Mixtape Vol. 2: 90's Hardcore Ragga Dancehall Mix,2007-08-27,https://i.scdn.co/image/ab67616d0000b2735d60d40321ce8e006708b1b2,6PKJhovmnRMA6UJDu3sYwS,Suspense,https://p.scdn.co/mp3-preview/4544739309afed15f4d2257e49836817bb14e827?cid=7f921ccd390e4fd7ba204c6bf3254ebb,
['3TVXtAsR1Inumwj472S9r4'],['Drake'],1.0,Scorpion,2018-06-29,https://i.scdn.co/image/ab67616d0000b273f907de96b9a4fbc04accc0d5,3CA9pLiwRIGtUBiMjbZmRw,Nice For What,,
['0hCNtLu0JehylgoiP8L4Gh'],['Nicki Minaj'],1.0,Queen,2018-08-10,https://i.scdn.co/image/ab67616d0000b273540ab7c149079184e8724dc4,1e4rwBPVI32vZtTJu7mJ4J,Chun-Li,,
"['7gZfnEnfiaHzxARJ2LeXrf', '0hCNtLu0JehylgoiP8L4Gh', '3CbYyyd8wH3RT6t0jwpdzC']","['6ix9ine', 'Nicki Minaj', 'Murda Beatz']",0.0,FEFE (feat. Nicki Minaj & Murda Beatz),2018-07-22,https://i.scdn.co/image/ab67616d0000b273a16370461881d18ace95d83f,2E124GmJRnBJuXbTb4cPUB,FEFE (feat. Nicki Minaj & Murda Beatz),,
['08p7B5OtcUuVblvkQIlBhJ'],['Tyrese'],0.0,I Wanna Go There,2002-12-01,https://i.scdn.co/image/ab67616d0000b2737138a6d4985a7502385e57cc,6RYynPLHZLnpwjejfGWpQl,Signs of Love Makin',https://p.scdn.co/mp3-preview/f3e49f09507b55ac5c2587ac32dcaee413e71913?cid=7f921ccd390e4fd7ba204c6bf3254ebb,
